Date,Geberas trend,Flower trend,Month,Year
2021-04-04 00:00:00,56,50,4,2021
2021-04-11 00:00:00,64,52,4,2021
2021-04-18 00:00:00,53,54,4,2021
2021-04-25 00:00:00,59,60,4,2021
2021-05-02 00:00:00,85,79,5,2021
2021-05-09 00:00:00,70,60,5,2021
2021-05-16 00:00:00,56,52,5,2021
2021-05-23 00:00:00,59,48,5,2021
2021-05-30 00:00:00,57,50,5,2021
2021-06-06 00:00:00,50,48,6,2021
2021-06-13 00:00:00,53,47,6,2021
2021-06-20 00:00:00,49,46,6,2021
2021-06-27 00:00:00,44,44,6,2021
2021-07-04 00:00:00,49,44,7,2021
2021-07-11 00:00:00,51,45,7,2021
2021-07-18 00:00:00,40,47,7,2021
2021-07-25 00:00:00,52,45,7,2021
2021-08-01 00:00:00,43,43,8,2021
2021-08-08 00:00:00,62,45,8,2021
2021-08-15 00:00:00,49,44,8,2021
2021-08-22 00:00:00,50,44,8,2021
2021-08-29 00:00:00,47,42,8,2021
2021-09-05 00:00:00,41,43,9,2021
2021-09-12 00:00:00,39,44,9,2021
2021-09-19 00:00:00,49,42,9,2021
2021-09-26 00:00:00,45,42,9,2021
2021-10-03 00:00:00,46,42,10,2021
2021-10-10 00:00:00,43,42,10,2021
2021-10-17 00:00:00,44,40,10,2021
2021-10-24 00:00:00,42,41,10,2021
2021-10-31 00:00:00,34,39,10,2021
2021-11-07 00:00:00,46,38,11,2021
2021-11-14 00:00:00,43,41,11,2021
2021-11-21 00:00:00,47,35,11,2021
2021-11-28 00:00:00,36,36,11,2021
2021-12-05 00:00:00,46,37,12,2021
2021-12-12 00:00:00,34,37,12,2021
2021-12-19 00:00:00,30,38,12,2021
2021-12-26 00:00:00,37,37,12,2021
2022-01-02 00:00:00,40,39,1,2022
2022-01-09 00:00:00,50,39,1,2022
2022-01-16 00:00:00,50,39,1,2022
2022-01-23 00:00:00,52,40,1,2022
2022-01-30 00:00:00,55,44,1,2022
2022-02-06 00:00:00,73,55,2,2022
2022-02-13 00:00:00,80,59,2,2022
2022-02-20 00:00:00,50,42,2,2022
2022-02-27 00:00:00,61,43,2,2022
2022-03-06 00:00:00,56,45,3,2022
2022-03-13 00:00:00,48,42,3,2022
2022-03-20 00:00:00,44,53,3,2022
2022-03-27 00:00:00,55,49,3,2022
2022-04-03 00:00:00,64,48,4,2022
2022-04-10 00:00:00,55,52,4,2022
2022-04-17 00:00:00,52,53,4,2022
2022-04-24 00:00:00,68,56,4,2022
2022-05-01 00:00:00,83,73,5,2022
2022-05-08 00:00:00,82,60,5,2022
2022-05-15 00:00:00,58,49,5,2022
2022-05-22 00:00:00,62,49,5,2022
2022-05-29 00:00:00,66,47,5,2022
2022-06-05 00:00:00,62,48,6,2022
